Customer Name,Code
Alcon Canada,C0000001
BVI Group,c0000002
Lipscomb University,C0000003
City of Sacramento,C0000004
Cotton States Insurance,C0000005
Novec,C0000006
FAG Canada,C0000007
Johnson and Johnson,C0000010
Novartis Animal Health Canada,C0000012
Bausch and Lomb,C0000015
Reckitt Benckiser,C0000016
Sharp Electronics of Canada,C0000018
Bayer Inc.,C0000045
Bayer Inc.,C0000046
Schaeffler Canada,C0000049
IMCD US Food Inc.,C0000057
Apotex Inc.,C0000069
IMCD US Food Inc.,C0000073
City of Sacramento,C0000075
Abell Pest Control,C0000076
Hunter Douglas Canada,C0000079
Johnson and Johnson,C0000091
Hunter Douglas Canada,C0000092
Quaker Oats,C0000104
Hewlett-Packard,C0000105
Hewlett-Packard,C0000109
Johnson and Johnson,C0000112
Alcon Canada,C0000117
Warner Bros.,C0000130
Mars Canada Inc.,C0000141
Baxter,C0000157
Sorin Group Canada Inc,C0000180
Baxter,C0000196
Oakville Hydro,C0000208
Source Medical,C0000213
Source Medical,C0000218
Noble Trade,C0000223
Noble Trade,C0000224
Ciba Canada,C0000240
Motts Canada,C0000267
Amer Sports Canada,C0000286
Ciba Canada,C0000291
Cedar Springs,C0000314
Electrolux,C0000320
Electrolux,C0000321
Region Of Peel,C0000323
Region Of Peel,C0000324
Sysco Food Services,C0000326
Oshawa Public Utilities Commission,C0000327
Reebok,C0000328
Reebok,C0000329
Reebok,C0000330
Oshawa Public Utilities Commission,C0000339
Hewlett-Packard,C0000350
Electrolux,C0000351
Expertech,C0000352
FAG Canada,C0000391
Abell Pest Control,C0000392
CFM Majestic,C0000393
Electrolux,C0000399
Hewlett-Packard,C0000404
SaskTel,C0000410
Electrolux,C0000411
Johnson and Johnson,C0000417
Johnson and Johnson,C0000418
Alectra Utilities Corp (Enersource Hdro),C0000420
Ingersoll Rand Canada,C0000443
BHC,C0000603
Good Samaritan Hospital Medical Ctr,C0000605
Matheson,C0000607
Equipment Company,C0000608
Praxair Canada Inc.,C0000609
Prince,C0000610
Safilo USA Inc,C0000611
Connecticut Post,C0000612
Nice-Pak,C0000613
Hospital Baby Portraits,C0000614
Montour Oil Service Company,C0000615
"Huck International, Inc.",C0000616
Automotive Refinishing Technologies,C0000619
SC Johnson Wax,C0000620
Ingersoll Rand,C0000621
H.O.PENN,C0000623
Dow Jones Local Media Group Inc.,C0000625
"Novartis Animal Health US, Inc.",C0000627
Otis Elevator Company,C0000628
Linde,C0000629
Ciba Vision Corporation,C0000630
Times Union,C0000631
Superior Plus Energy Services LLC,C0000632
CertainTeed,C0000634
CNI News,C0000635
Quarles Petroleum Inc.,C0000636
New England Newspapers,C0000637
GE Healthcare,C0000638
LeeCounty Electrical Cooperative,C0000639
Linde,C0000640
Linde,C0000641
CFM Majestic,C0000643
Superior Plus Energy Services LLC,C0000644
Call Sciences,C0000646
Catholic Health Services,C0000647
Country Lake (Lake Country) Newspapers,C0000648
Electrolux Financial,C0000649
CAR,C0000650
CityFone,C0000651
The Lowell Sun,C0000652
Daily Breeze,C0000653
Burbank,C0000654
Mirabito Oil,C0000655
RoadPost,C0000656
Carrier,C0000658
Catholic Health Services,C0000659
Oxford Instruments,C0000661
City of Vallejo,C0000662
St. Charles Hospital,C0000663
VWR International,C0000665
Novec,C0000666
Kinecor,C0000667
San Jose Mercury News,C0000668
Nike Canada,C0000669
City of Waterloo,C0000670
Nike Canada,C0000671
Nike Canada,C0000672
Southern Louisiana Newspapers,C0000673
York Newspapers Company,C0000674
Catholic Health Services,C0000675
Schaeffler Group USA Inc,C0000676
Linde,C0000677
Allied Tube,C0000678
Primus,C0000680
Nova Scotia Power,C0000681
Quarles Energy Services,C0000682
Quarles Energy Services,C0000683
Aquarion Village Water,C0000684
Centra Gas,C0000685
Town of Oakville,C0000686
City of Evanston,C0000687
City of Toronto,C0000688
Color Your World,C0000689
Recover Corp.,C0000690
Dakota Electric Association,C0000691
Taylor Made,C0000692
Linde,C0000694
Florida Public Utilities,C0000697
Mobile Area Water & Sewer System,C0000698
GlaxoSmithKline,C0000699
Source Medical,C0000701
Versant Power,C0000702
Prince,C0000703
Union Energy,C0000704
Recover Corp.,C0000705
Community First,C0000706
The Collection House,C0000709
Brunschwig & Fils,C0000710
Startec,C0000711
"Novartis Animal Health US, Inc.",C0000712
ARO,C0000713
Catholic Health Services,C0000714
Union Energy,C0000715
Union Energy,C0000716
Clay Electric Cooperative,C0000717
URB Town of Petrolia,C0000718
The New York Times,C0000719
New Market Hydro Tay Hydro,C0000720
Washington Suburban Sanitary Commission,C0000721
URB Village of Point Edward,C0000722
Town of Brooke - Alvinston,C0000723
Town of Warwick,C0000724
Community First Credit Union,C0000725
Crystal Rock,C0000726
The Press Democrat,C0000727
Charlotte Observer,C0000728
Boston Globe,C0000729
Telegram & Gazette,C0000730
Tallahassee Democrat,C0000731
Gainesville Sun,C0000732
Star Banner,C0000733
Veridian Energy,C0000734
Saint Paul Pioneer Press,C0000736
The Lakeland Ledger,C0000737
Gravenhurst Hydro,C0000738
Biloxi Sun Herald,C0000739
Miami Herald,C0000740
Berkshire Group,C0000741
Columbus Ledger-Enquirer,C0000742
Los Angeles Times,C0000743
Tuition Management Systems Inc.,C0000744
Tuition Management Systems Inc.,C0000745
City of San Jose,C0000746
City of San Jose,C0000747
Allstream,C0000748
Vistakon,C0000749
City of Riverside,C0000750
Automotive Refinishing Technologies,C0000751
Rochester Gas and Electric,C0000752
ETR407,C0000753
Union Energy,C0000755
Matrixx Networks Inc.,C0000756
Columbus Ledger-Enquirer,C0000757
Coca Cola,C0000758
Midcontinent Communications,C0000760
Johnson and Johnson,C0000762
Amer Sports Canada,C0000763
Credit Union West,C0000765
Credit Union West,C0000766
Lexington Herald,C0000767
Whitby Hydro Utility,C0000768
Times Union,C0000769
AP Biotech,C0000770
Innisfil,C0000771
Credit Union West,C0000772
The Washington Post,C0000773
DS Services,C0000775
DS Services,C0000776
"Freedom Communications Holdings, Inc.",C0000778
New York Daily News,C0000780
Tuition Management Systems Inc.,C0000781
Schering-Plough Canada,C0000782
Schering-Plough Canada,C0000783
RSC Equipment Rental,C0000784
Louisville Courier-Journal,C0000785
Tuition Management Systems Inc.,C0000786
Tuition Management Systems Inc.,C0000787
New York Daily News,C0000788
Sunrise Water Authority,C0000789
Mills College,C0000790
Tuition Management Systems Inc.,C0000791
Amer Winter Sports,C0000792
Canadian Springs,C0000793
Tuition Management Systems Inc.,C0000794
Winters Brothers Recycling Corp.,C0000795
Memphis Light Gas and Water,C0000796
CityFone,C0000797
Comfortex Window Fashions,C0000798
"Freedom Communications Holdings, Inc.",C0000799
"Freedom Communications Hildings, Inc.",C0000800
Canadian Springs,C0000801
Philadelphia Inquirer,C0000802
Exide Technologies,C0000803
Exide Technologies,C0000804
City of Burbank Water & Power,C0000805
City of Burbank Water & Power,C0000806
Cutwater Inc.,C0000807
San Jose Mercury News,C0000808
NAPUS FCU,C0000809
Quarles Energy Services,C0000810
Canadian Springs,C0000811
Canadian Springs,C0000812
Canadian Springs,C0000813
Canadian Springs,C0000814
Canadian Springs,C0000815
Canadian Springs,C0000816
Canadian Springs,C0000817
Canadian Springs,C0000818
Canadian Springs,C0000819
Canadian Springs,C0000820
Canadian Springs,C0000821
City of Burbank Water & Power,C0000822
City of San Diego,C0000823
City of Burbank Water & Power,C0000824
Austin American-Statesman,C0000825
Quarles Energy Services,C0000826
City of Sacramento,C0000827
Union Energy,C0000828
City of Sacramento,C0000830
