Order No,Order Ext,Line No,Location,Part No,Description,Uom,Ordered,Shipped,Price,Ext Price,Status,Sch Ship Date,Req Ship Date,Forwarder Key
1805093,0,5,LA,IX32131,LA - idoxs eCheck ACH Transaction,EA,7401,7401,0.0525,388.5525,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805093,0,7,LA,IX32132,LA - idoxs eCheck Prenote Transaction,EA,0.0000001,0.0000001,0.05,0.000000005,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805093,0,8,LA,IX32133,LA - idoxs eCheck Redeposit Transaction,EA,0.0000001,0.0000001,0.2,0.00000002,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805093,0,9,LA,IX32134,LA - idoxs ACH Return,EA,52,52,0.525,27.3,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805093,0,10,LA,IX32135,LA - idoxs eCheck Notification of Change,EA,2,2,0.3675,0.735,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805093,0,11,LA,IX32136,LA - idoxs eCheck ECP Deposit Check,EA,0.0000001,0.0000001,0.35,0.000000035,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805093,0,12,LA,IX32137,LA - idoxs eCheck ECP Redeposit,EA,0.0000001,0.0000001,0.5,0.00000005,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805093,0,13,LA,IX32138,LA - idoxs Deposit matching,EA,120,120,0.2625,31.5,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805093,0,14,LA,IX32139,LA - idoxs Draft Return,EA,0.0000001,0.0000001,5,0.0000005,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805087,0,2,NYC,IX1217,NYC - i-doxs Payment Fee - Residential ACH,EA,25331,25331,0.1,2533.1,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805087,0,3,NYC,IX1218,NYC - i-doxs Payment Fee - Comercial ACH,EA,96,96,0.1,9.6,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805086,0,15,LA,IX3206,LA - True up payment Jun 2024 - Tyler,EA,1,1,0.08,0.08,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805086,0,16,LA,IX3207,LA - True up payment Jun 2024 - RescueNet,EA,1,1,645.67,645.67,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805086,0,17,LA,IX3208,LA - True up payment Jun 2024 - Infor,EA,1,1,4444.39,4444.39,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
1805085,0,2,NYC,ix12711,ACH Origination fees,EA,1,1,3656.5,3656.5,,6-30-2024 0:00:00 tt,6-30-2024 0:00:00 tt,
