Order  #,Ext,Customer Code,Ship To,Ship To Name,Location,Customer PO No,Carrier,FOB,Attention,Tax Code,Terms,Currency,Total Order Amt,Total Tax,Total Discount,Freight Amt,Total Invoice,Invoice No,Invoice Date,Enter Date,Sch Ship Date,Ship Date,Status,Who Enter,Blanket,Multiple Ship To,,,,,,,,,,,,,,,,,,,,,,
1804737,0,C0000608,993NC,Invoice,NYC,6429692,KUBRA,DEST,,E7,N0,USD,505.85,0,0,0,505.85,INV0204018,2024-07-02,2024-07-01 7:07,2024-06-30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1804139,0,C0000608,993NC,Invoice,NYC,6427777,KUBRA,DEST,,E7,N0,USD,434.72,26.53,0,0,461.25,INV0204018,2024-07-02,2024-06-28 14:01,2024-06-28 14:01,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803574,0,C0000608,993NC,Invoice,NYC,6426219,KUBRA,DEST,,E7,N0,USD,328.58,20.33,0,0,348.91,INV0204018,2024-07-02,2024-06-27 14:00,2024-06-27 14:00,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1803074,0,C0000608,993NC,Invoice,NYC,6424835,KUBRA,DEST,,E7,N0,USD,554.89,34.15,0,0,589.04,INV0204018,2024-07-02,2024-06-26 17:46,2024-06-26 17:46,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801845,0,C0000608,993NC,Invoice,NYC,6421353,KUBRA,DEST,,E7,N0,USD,523.78,31.86,0,0,555.64,INV0204018,2024-07-02,2024-06-24 8:45,2024-06-24 8:45,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1800863,0,C0000608,993NC,Invoice,NYC,6418183,KUBRA,DEST,,E7,N0,USD,1190.94,72.61,0,0,1263.55,INV0204018,2024-07-02,2024-06-20 18:31,2024-06-20 18:31,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1798707,0,C0000608,993NC,Invoice,NYC,6411313,KUBRA,DEST,,E7,N0,USD,269.3,16.2,0,0,285.5,INV0204018,2024-07-02,2024-06-14 11:00,2024-06-14 11:00,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1798125,0,C0000608,993NC,Invoice,NYC,6409709,KUBRA,DEST,,E7,N0,USD,273.7,16.37,0,0,290.07,INV0204018,2024-07-02,2024-06-13 8:46,2024-06-13 8:46,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1797676,0,C0000608,993NC,Invoice,NYC,6408374,KUBRA,DEST,,E7,N0,USD,453.03,27.66,0,0,480.69,INV0204018,2024-07-02,2024-06-12 12:30,2024-06-12 12:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1796567,0,C0000608,993NC,Invoice,NYC,6405171,KUBRA,DEST,,E7,N0,USD,221.59,13.08,0,0,234.67,INV0204018,2024-07-02,2024-06-10 8:47,2024-06-10 8:47,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1795940,0,C0000608,993NC,Invoice,NYC,6403020,KUBRA,DEST,,E7,N0,USD,267.88,16.13,0,0,284.01,INV0204018,2024-07-02,2024-06-07 9:30,2024-06-07 9:30,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1795447,0,C0000608,993NC,Invoice,NYC,6401595,KUBRA,DEST,,E7,N0,USD,129.5,7.63,0,0,137.13,INV0204018,2024-07-02,2024-06-06 11:45,2024-06-06 11:45,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1794707,0,C0000608,993NC,Invoice,NYC,6399717,KUBRA,DEST,,E7,N0,USD,177.93,10.93,0,0,188.86,INV0204018,2024-07-02,2024-06-05 8:45,2024-06-05 8:45,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1794194,0,C0000608,993NC,Invoice,NYC,6398191,KUBRA,DEST,,E7,N0,USD,237.51,14.59,0,0,252.1,INV0204018,2024-07-02,2024-06-04 8:46,2024-06-04 8:46,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1793605,0,C0000608,993NC,Invoice,NYC,6396667,KUBRA,DEST,,E7,N0,USD,1473.04,91.83,0,0,1564.87,INV0204018,2024-07-02,2024-06-03 8:00,2024-06-03 8:00,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1801201,0,C0000611,12948LA,PDF Statement,LA,6418789,KUBRA,DEST,,E9,N0,USD,1.38,0.05,0,0,1.43,INV0204133,2024-07-02,2024-06-21 6:05,2024-06-21 6:05,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
1794686,0,C0000611,12948LA,PDF Statement,LA,6399262,KUBRA,DEST,,E9,N0,USD,6380.88,221.24,0,0,6602.12,INV0204133,2024-07-02,2024-06-05 7:15,2024-06-05 7:15,2024-06-30,Shipped/Transferred,sa,No,No,,,,,,,,,,,,,,,,,,,,,,
