Order No,Order Ext,Line No,Location,Part No,Description,Uom,Ordered,Shipped,Price,Ext Price,Status,Sch Ship Date,Req Ship Date,Forwarder Key
1895358,0,2,NYC,IX1102,NYC - i-doxs Load Fee - Documents,EA,191308,191308,0.010506,2009.881848,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,6,NYC,IX1201,Idoxs payment fee / ACH origination,EA,31513,31513,0.05,1575.65,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,7,NYC,IX1202,NYC - i-doxs Payment Fee - VBS,EA,44483,44483,0.105063,4673.517429,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,8,NYC,IX1203,NYC - i-doxs Payment Fee - CSR,EA,3,3,0.2,0.6,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,9,NYC,IX1205,NYC - i-doxs Payment Fee - ONE,EA,10996,10996,0.2,2199.2,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,24,NYC,IX1401,NYC - i-doxs CheckFree Distribution,EA,7344,7344,0.35,2570.4,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,25,NYC,IX1600,NYC - i-doxs SMS Notification,EA,1697,1697,0.05,84.85,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,26,NYC,IX1700,NYC - i-doxs Payment Fee - Credit,EA,887,887,-0.05,-44.35,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,27,NYC,IX1702,NYC - i-doxs Payment Fee - Call Center,EA,887,887,2.75,2439.25,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,29,NYC,IX1705,NYC - i-doxs Remittance Fee - ONE,EA,10996,10996,0.021013,231.058948,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,30,NYC,IX1706,NYC - i-doxs Remittance Fee - ORC,EA,1562,1562,0.021013,32.822306,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,31,NYC,IX1708,NYC - i-doxs Remittance Fee - CHK,EA,16127,16127,0.021013,338.876651,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895358,0,32,NYC,IX1709,NYC - i-doxs Remittance Fee - MET,EA,283,283,0.021013,5.946679,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895357,0,1,NYC,IX1101,NYC - i-doxs Load Fee - Pages,EA,0,0,0,0,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895357,0,2,NYC,IX1102,NYC - i-doxs Load Fee - Documents,EA,0,0,0.010506,0,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895357,0,3,NYC,IX1103,NYC - i-doxs Views,EA,0,0,0,0,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895357,0,4,NYC,IX1104,NYC - i-doxs Creation Fee - Pages,EA,0,0,0,0,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
1895357,0,5,NYC,IX1105,NYC - i-doxs Creation Fee - Documents,EA,0,0,0,0,,1-31-2025 0:00:00 tt,1-31-2025 0:00:00 tt,
