"Order  #","Ext","Customer Code","Ship To","Ship To Name","Location","Customer PO No","Carrier","FOB","Attention","Tax Code","Terms","Currency","Total Order Amt","Total Tax","Total Discount","Freight Amt","Total Invoice","Invoice No","Invoice Date","Enter Date","Sch Ship Date","Ship Date","Status","Who Enter","Blanket","Multiple Ship To","Customer Name (from master)"
"1971954","0","C0000608","993NC","Invoice","NYC","6893397","KUBRA","DEST","","E7","N0","USD","667.11","41.34","0","0","708.45","INV0216908","2025-09-03","2025-08-01 9:47","2025-08-01 9:47","2025-08-31","Shipped/Transferred","sa","No","No","Equipment Company"
"1971782","0","C0000608","993NC","Invoice","NYC","6893121","KUBRA","DEST","","E7","N0","USD","497.62","0","0","0","497.62","INV0216224","2025-08-04","2025-08-01 7:17","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Equipment Company"
"1971780","0","C0000613","32NC","Invoice/Credit","NYC","6893105","KUBRA","DEST","","E7","N0","USD","1631.36","0","0","0","1631.36","INV0216198","2025-08-04","2025-08-01 7:13","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Nice-Pak"
"1971551","0","C0000613","3103NC","Invoice","NYC","6892328","KUBRA","DEST","","E7","N0","USD","36.65","1.44","0","0","38.09","INV0216910","2025-09-03","2025-08-01 1:31","2025-08-01 1:31","2025-08-31","Shipped/Transferred","sa","No","No","Nice-Pak"
"1971970","0","C0000628","13124LA","Inv-Unitec","LA","6893445","KUBRA","DEST","","E9","N0","USD","233.65","16.7","0","0","250.35","INV0216912","2025-09-03","2025-08-01 9:55","2025-08-01 9:55","2025-08-31","Shipped/Transferred","sa","No","No","Otis Elevator Company"
"1971498","0","C0000628","88LA","Invoice","LA","5025829","KUBRA","DEST","","E9","N0","USD","247.5","0","0","0","247.5","INV0215908","2025-08-04 2:16","2025-08-01 1:06","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Otis Elevator Company"
"1971933","0","C0000697","3512DL","Notice","DAL","6892385","Kubra","DEST","","E","N0","USD","49.16","0","0","0","49.16","INV0216915","2025-09-03","2025-08-01 9:33","2025-08-01 9:33","2025-08-31","Shipped/Transferred","sa","No","No","Florida Public Utilities"
"1971479","0","C0000697","279NC","Bill","NYC","5025802","Kubra","DEST","","E","N0","USD","900","0","0","0","900","INV0215894","2025-08-04 2:16","2025-08-01 0:52","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Florida Public Utilities"
"1972309","0","C0000702","2042NC","PD Letter","NYC","6894089","KUBRA","DEST","","E7","N0","USD","52.26","0.57","0","0","52.83","INV0216924","2025-09-03","2025-08-01 22:25","2025-08-01 22:25","2025-08-31","Shipped/Transferred","sa","No","No","Versant Power"
"1972308","0","C0000702","1859NC","Letter DTM","NYC","6894088","KUBRA","DEST","","E7","N0","USD","416.27","3.07","0","0","419.34","INV0216923","2025-09-03","2025-08-01 22:24","2025-08-01 22:24","2025-08-31","Shipped/Transferred","sa","No","No","Versant Power"
"1972307","0","C0000702","2176NC","DELetter","NYC","6894087","KUBRA","DEST","","E7","N0","USD","12.1","0.09","0","0","12.19","INV0216925","2025-09-03","2025-08-01 22:24","2025-08-01 22:24","2025-08-31","Shipped/Transferred","sa","No","No","Versant Power"
"1972286","0","C0000702","12762NC","VersantBill","NYC","6894040","KUBRA","DEST","","E7","N0","USD","3470.84","69.46","0","0","3540.3","INV0216921","2025-09-03","2025-08-01 21:39","2025-08-01 21:39","2025-08-31","Shipped/Transferred","sa","No","No","Versant Power"
"1971797","0","C0000702","1100NC","Idoxs","NYC","6893167","Kubra","DEST","","E7","N0","USD","39472.86","0","0","0","39472.86","INV0216042","2025-08-04","2025-08-01 7:34","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Versant Power"
"1971459","0","C0000702","284NC","Invoice","NYC","5025778","Kubra","DEST","","E7","N0","USD","2475","0","0","0","2475","INV0215878","2025-08-04 2:15","2025-08-01 0:50","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Versant Power"
"1971763","0","C0000752","13109NC","Bill Summary","NYC","6893041","KUBRA","DEST","","E","N60","USD","0","0","0","0","0","INV0216929","2025-09-03","2025-08-01 6:54","2025-08-01 6:54","2025-08-31","Shipped/Transferred","sa","No","No","Rochester Gas and Electric"
"1972090","0","C0000760","1165NC","Statement","NYC","6893646","Kubra","DEST","","E","N0","USD","0","0","0","0","0","INV0216930","2025-09-03","2025-08-01 14:45","2025-08-01 14:45","2025-08-31","Shipped/Transferred","sa","No","No","Midcontinent Communications"
"1971936","0","C0000775","768DL","Invoice","DAL","6892906","KUBRA","DEST","","E14","N0","USD","736.09","10.45","0","0","746.54","INV0216661","2025-08-18","2025-08-01 9:35","2025-08-01 9:35","2025-08-31","Shipped/Transferred","sa","No","No","DS Services"
"1972206","0","C0000827","867LA","Bill","LA","","KUBRA","DEST","","E13","N0","USD","1898.73","166.14","0","0","2064.87","INV0216545","2025-08-04","2025-08-01 19:20","2025-07-31","2025-07-31","Shipped/Transferred","FMarquez","No","No","City of Sacramento"
"1972348","0","C0000830","3093LA","Letter - DTM Top Address","LA","6894128","KUBRA","DEST","","E13","N0","USD","224.59","1.34","0","0","225.93","INV0216935","2025-09-03","2025-08-01 23:10","2025-08-01 23:10","2025-08-31","Shipped/Transferred","sa","No","No","City of Sacramento"
"1972347","0","C0000830","3169LA","Letter - DTM Bottom Address	","LA","6894127","KUBRA","DEST","","E13","N0","USD","206.43","1.69","0","0","208.12","INV0216936","2025-09-03","2025-08-01 23:10","2025-08-01 23:10","2025-08-31","Shipped/Transferred","sa","No","No","City of Sacramento"
"1972188","0","C0000831","12756NC","Bill - FG","NYC","6893868","Kubra","DEST","","E","N0","USD","26.91","0","0","0","26.91","INV0216938","2025-09-03","2025-08-01 18:34","2025-08-01 18:34","2025-08-31","Shipped/Transferred","sa","No","No","Unitil"
"1972048","0","C0000831","13042NC","Unitil","NYC","6893398","Kubra","DEST","Craig Huizenga","E","N0","USD","1.05","0","0","0","1.05","INV0216939","2025-09-03","2025-08-01 13:41","2025-08-01 13:41","2025-08-31","Shipped/Transferred","sa","No","No","Unitil"
"1971952","0","C0000831","13042NC","Unitil","NYC","6893389","Kubra","DEST","Craig Huizenga","E","N0","USD","0","0","0","0","0","","","2025-08-01 9:45","2025-08-01 9:45","2025-08-31","Void","sa","No","No","Unitil"
"1971500","0","C0000831","896NC","Bill - FG","NYC","5025831","Kubra","DEST","Craig Huizenga","E","N0","USD","0","0","0","0","0","INV0215909","2025-08-04 2:16","2025-08-01 1:06","2025-07-31","2025-07-31","Shipped/Transferred","sa","No","No","Unitil"
"1972189","0","C0000832","12756NC","Bill - Capitol & SC","NYC","6893868","Kubra","DEST","Craig Huizenga","E","N0","USD","32.99","0","0","0","32.99","INV0216941","2025-09-03","2025-08-01 18:34","2025-08-01 18:34","2025-08-31","Shipped/Transferred","sa","No","No","Unitil"
"1971944","0","C0000930","2341NC","UniSource Energy Services","NYC","6893059","KUBRA","DEST","","E7","N0","USD","0","0","0","0","0","INV0216946","2025-09-03","2025-08-01 9:40","2025-08-01 9:40","2025-08-31","Shipped/Transferred","sa","No","No","Unisource Energy Corporation"
"1971745","0","C0000930","551NC","UniSource Energy Services","NYC","6892840","KUBRA","DEST","","E","N0","USD","0","0","0","0","0","INV0216945","2025-09-03","2025-08-01 6:52","2025-08-01 6:52","2025-08-31","Shipped/Transferred","sa","No","No","Unisource Energy Corporation"
"1972264","0","C0000943","2438DL","Bill","DAL","6893869","KUBRA","DEST","","E","N0","USD","46.4","0","0","0","46.4","INV0216948","2025-09-03","2025-08-01 21:30","2025-08-01 21:30","2025-08-31","Shipped/Transferred","sa","No","No","WaterOne"
