Order No,Order Ext,Line No,Location,Part No,Description,Uom,Ordered,Shipped,Price,Ext Price,Status,Sch Ship Date,Req Ship Date,Forwarder Key
1972880,0,2,NYC,IX1102,NYC - i-doxs Load Fee - Documents,EA,0,0,0.010506,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,22,NYC,IX1201,NYC - Idoxs payment fee / ACH origination,EA,0,0,0.05,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,23,NYC,IX1202,NYC - i-doxs Payment Fee - VBS,EA,0,0,0.105063,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,40,NYC,IX1401,NYC - i-doxs CheckFree Distribution,EA,0,0,0.35,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,41,NYC,IX1600,NYC - i-doxs SMS Notification,EA,0,0,0.05,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,44,NYC,IX1705,NYC - i-doxs Remittance Fee - ONE,EA,0,0,0.021013,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,45,NYC,IX1706,NYC - i-doxs Remittance Fee - ORC,EA,0,0,0.021013,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,46,NYC,IX1708,NYC - i-doxs Remittance Fee - CHK,EA,0,0,0.021013,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,47,NYC,IX1709,NYC - i-doxs Remittance Fee - MET,EA,0,0,0.021013,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,48,NYC,IX1700,NYC - i-doxs payment fee - credit,EA,0,0,-0.05,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,49,NYC,IX1702,NYC - i-doxs payment fee - call center,EA,0,0,2.75,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972880,0,50,NYC,ix1202a,NYC - i-doxs Payment Fee - ONE,EA,0,0,0.2,0,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,2,NYC,IX1102,NYC - i-doxs Load Fee - Documents,EA,208346,208346,0.010506,2188.883076,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,22,NYC,IX1201,NYC - Idoxs payment fee / ACH origination,EA,32297,32297,0.05,1614.85,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,23,NYC,IX1202,NYC - i-doxs Payment Fee - VBS,EA,47112,47112,0.105063,4949.728056,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,24,NYC,IX1205,NYC - i-doxs Payment Fee - ONE,EA,8840,8840,0.2,1768,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,40,NYC,IX1401,NYC - i-doxs CheckFree Distribution,EA,8374,8374,0.35,2930.9,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,41,NYC,IX1600,NYC - i-doxs SMS Notification,EA,1615,1615,0.05,80.75,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,42,NYC,IX1700,NYC - i-doxs Payment Fee - Credit,EA,496,496,-0.05,-24.8,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,43,NYC,IX1702,NYC - i-doxs Payment Fee - Call Center,EA,496,496,2.75,1364,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,44,NYC,IX1705,NYC - i-doxs Remittance Fee - ONE,EA,8840,8840,0.021013,185.75492,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,45,NYC,IX1706,NYC - i-doxs Remittance Fee - ORC,EA,2557,2557,0.021013,53.730241,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,46,NYC,IX1708,NYC - i-doxs Remittance Fee - CHK,EA,16170,16170,0.021013,339.78021,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972879,0,47,NYC,IX1709,NYC - i-doxs Remittance Fee - MET,EA,1398,1398,0.021013,29.376174,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972623,0,1,NYC,IX1101,NYC - i-doxs Load Fee - Documents PSEG LI,EA,657759,657759,0.018,11839.662,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972623,0,2,NYC,IX1102,NYC - i-doxs Load Fee - Documents Vault,EA,1174418,1174418,0.018,21139.524,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972596,0,3,DAL,IX6802,DAL - i-doxs Load Fee - Pages,EA,5976,5976,0.01,59.76,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972341,0,1,DAL,IX6802,DAL - i-doxs Load Fee - Pages,EA,29177,29177,0.005,145.885,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972341,0,2,DAL,IX6103,DAL - i-doxs Views,EA,57,57,0.08,4.56,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972339,0,3,DAL,IX6103,DAL - i-doxs Views,EA,53131,53131,0.08,4250.48,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972339,0,4,DAL,IX6202,DAL - i-doxs Payment Fee - VBS,EA,114757,114757,0.07,8032.99,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972339,0,5,DAL,IX6802,DAL - i-doxs Load Fee - Pages,EA,606734,606734,0.005,3033.67,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972339,0,6,DAL,IX6207,DAL - i-doxs Payment Fee - EFT,EA,4963,4963,0.04,198.52,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972317,0,2,DAL,IX6103,DAL - i-doxs Views,EA,940859,940859,0.068,63978.412,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972316,0,2,DAL,IX6103,DAL - i-doxs Views,EA,1,1,0.07,0.07,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972316,0,4,DAL,IX6102,DAL - i-doxs Load Fee - Documents,EA,52778,52778,0.001,52.778,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972242,0,4,DAL,IX68041,API Monthly Maintenance and Support,EA,1,1,5000,5000,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972242,0,5,DAL,IX68042,API Payments VBS,EA,66700,66700,0.005,333.5,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972242,0,6,DAL,IX68043,API Subscribers Enrolled,EA,3994,3994,0.005,19.97,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972242,0,7,DAL,IX68044,API Documents viewed,EA,180220,180220,0.005,901.1,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972214,0,3,DAL,IX61011,Hosted archive - Additional storage,EA,1,1,500,500,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972214,0,4,NYC,IX61012,Retention Period for hosting USPS data,EA,1,1,500,500,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
1972208,0,5,LA,IX32131,LA - idoxs eCheck ACH Transaction,EA,9496,9496,0.0525,498.54,,7-31-2025 0:00:00 tt,7-31-2025 0:00:00 tt,
